payload_number;adc_time;sg_1;sg_2;sg_3;sg_4
466;38;1639;1633;1636;1638
467;38;1641;1642;1638;1636
468;38;1645;1641;1638;1639
469;44;1639;1631;1638;1639
470;37;1640;1645;1642;1639
471;37;1637;1634;1635;1633
472;38;1637;1639;1641;1637
473;38;1639;1643;1635;1635
474;38;1631;1631;1628;1631
475;37;1637;1639;1644;1640
476;37;1640;1637;1636;1637
477;37;1640;1638;1638;1638
478;38;1635;1641;1639;1637
479;37;1640;1636;1635;1636
480;44;1638;1636;1637;1639
481;38;1638;1643;1638;1636
482;37;1644;1640;1637;1632
483;37;1638;1636;1639;1637
484;38;1640;1643;1641;1638
485;38;1637;1636;1637;1637
486;38;1641;1640;1644;1639
487;38;1641;1638;1636;1635
488;37;1636;1635;1637;1637
489;38;1639;1643;1644;1637
490;38;1639;1634;1635;1633
491;44;1634;1634;1636;1639
492;38;1640;1640;1640;1634
493;38;1644;1638;1635;1637
494;38;1640;1640;1639;1637
495;38;1641;1645;1639;1636
496;38;1638;1635;1635;1637
497;38;1639;1640;1642;1636
498;38;1643;1636;1638;1631
499;38;1628;1632;1628;1627
500;38;1634;1640;1636;1630
501;38;1636;1638;1635;1635
502;44;1637;1638;1639;1642
503;38;1641;1639;1637;1636
504;37;1637;1633;1632;1634
505;38;1636;1638;1643;1640
506;37;1639;1639;1633;1633
507;38;1641;1635;1633;1634
508;37;1638;1636;1636;1637
509;37;1643;1644;1639;1636
510;37;1636;1635;1637;1636
511;38;1639;1643;1639;1637
512;38;1645;1641;1638;1636
513;44;1636;1634;1636;1639
514;38;1637;1643;1641;1638
515;38;1639;1637;1636;1637
516;38;1639;1635;1643;1640
517;38;1640;1639;1638;1635
518;37;1640;1637;1637;1637
519;38;1641;1641;1646;1641
520;38;1641;1639;1635;1634
521;38;1640;1634;1633;1637
522;37;1637;1640;1636;1632
523;37;1644;1643;1638;1634
524;44;1635;1633;1632;1636
525;38;1639;1641;1638;1637
526;38;1639;1632;1630;1634
527;38;1635;1636;1641;1638
528;38;1640;1645;1641;1636
529;38;1639;1635;1635;1635
530;38;1639;1639;1645;1645
531;38;1641;1640;1638;1637
532;38;1636;1635;1635;1634
533;38;1637;1639;1641;1638
534;38;1644;1640;1639;1638
535;44;1638;1637;1639;1639
536;38;1638;1644;1641;1637
537;37;1628;1632;1633;1634
538;37;1638;1639;1639;1635
539;38;1638;1641;1636;1636
540;38;1635;1633;1636;1636
541;38;1639;1635;1640;1636
542;38;1641;1640;1637;1639
543;37;1637;1638;1636;1638
544;37;1640;1643;1642;1639
545;38;1639;1634;1634;1638
546;44;1631;1633;1634;1635
547;38;1632;1640;1640;1634
548;37;1644;1640;1639;1636
549;37;1638;1639;1638;1635
550;38;1641;1644;1639;1638
551;38;1636;1637;1636;1637
552;38;1639;1640;1638;1636
553;38;1643;1641;1638;1635
554;38;1634;1634;1634;1635
555;38;1637;1640;1640;1637
556;37;1636;1635;1634;1635
557;44;1636;1635;1634;1635
558;38;1634;1635;1634;1635
559;38;1640;1637;1636;1638
560;38;1639;1639;1639;1637
561;37;1640;1640;1638;1637
562;38;1640;1636;1635;1635
563;37;1639;1639;1636;1634
564;38;1642;1640;1636;1637
565;37;1637;1634;1635;1636
566;37;1637;1630;1628;1628
567;38;1640;1637;1631;1634
568;44;1640;1638;1640;1639
569;38;1638;1639;1638;1638
570;38;1643;1637;1635;1636
571;38;1640;1638;1640;1636
572;37;1639;1637;1636;1634
573;37;1641;1636;1637;1638
574;38;1638;1638;1636;1633
575;38;1641;1640;1638;1638
576;38;1637;1635;1638;1637
577;38;1639;1641;1645;1640
578;38;1643;1639;1638;1638
579;44;1635;1630;1638;1640
580;37;1635;1629;1631;1634
581;38;1638;1638;1637;1638
582;38;1638;1639;1641;1637
583;38;1639;1638;1638;1635
584;38;1642;1638;1637;1636
585;38;1639;1640;1641;1637
586;38;1643;1642;1638;1638
587;38;1636;1634;1636;1636
588;38;1638;1640;1639;1634
589;38;1644;1640;1635;1635
590;44;1635;1634;1635;1637
591;38;1635;1643;1640;1637
592;38;1639;1638;1638;1639
593;38;1639;1640;1645;1643
594;38;1641;1639;1637;1635
595;37;1638;1636;1634;1636
596;37;1640;1641;1645;1640
597;38;1644;1648;1644;1639
598;37;1640;1640;1636;1636
599;37;1638;1643;1636;1633
600;38;1645;1640;1637;1638
601;44;1636;1636;1638;1639
602;38;1638;1643;1641;1640
603;37;1639;1637;1636;1637
604;38;1638;1638;1640;1634
605;37;1638;1638;1636;1635
606;37;1629;1633;1633;1636
607;38;1640;1637;1626;1631
608;38;1634;1636;1635;1631
609;37;1633;1635;1637;1637
610;37;1636;1634;1643;1639
611;37;1638;1637;1636;1638
612;44;1638;1636;1636;1638
613;38;1637;1639;1630;1632
614;37;1641;1637;1637;1638
615;37;1639;1639;1643;1639
